Tahun,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Latitude,Longitude,Kota
2020,0,0,0,0,0,0,0,0,0,0,1,0,-6.16346,111.95785,Tuban
2020,0,0,0,0,0,0,0,0,0,0,1,0,-8.98624,112.73768,Malang
2020,0,0,0,0,0,0,0,0,0,0,1,0,-7.75817,111.99911,Bojonegoro
2020,0,0,0,0,0,0,0,0,0,0,1,0,-6.10211,111.93974,Tuban
2020,0,0,0,0,0,0,0,0,0,0,1,0,-7.58687,111.7999,Bojonegoro
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.426,111.94504,Bojonegoro
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.96945,112.78727,Jombang
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.64151,111.9773,Bojonegoro
2020,0,0,0,0,0,0,0,0,0,0,0,1,-6.99501,111.93394,Tuban
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.56282,112.81855,Sidoarjo
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.67475,111.9694,Nganjuk
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.79111,111.86673,Madiun
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.96216,113.81632,Sampang
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.5305,112.7372,Sidoarjo
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.52784,112.98749,Bangkalan
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.9992,113.56529,Sampang
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.37578,112.90167,Lamongan
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.17803,112.91286,Gresik
2020,0,0,0,0,0,0,0,0,0,0,0,1,-8.71243,112.65362,Malang
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.86156,112.66179,Mojokerto
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.91662,111.96645,Nganjuk
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.694,113.61267,Pamekasan
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.9678,113.39109,Sampang
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.13242,112.54203,Gresik
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.64051,111.9712,Madiun
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.96637,112.95111,Pasuruan
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.56242,111.88836,Bojonegoro
2020,0,0,0,0,0,0,0,0,0,0,0,1,-6.15562,111.91782,Tuban
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.21613,112.94422,Bangkalan
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.94928,112.72381,Sidoarjo
2020,0,0,0,0,0,0,0,0,0,0,0,1,-7.68452,111.80423,Bojonegoro
